date,product_name,price
2024-08-30,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-08-30,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-08-30,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-08-30,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-08-30,"Picanha Bovina à Vácuo Aprox. 1,5Kg",85.34
2024-08-30,Cordão de Filé Mignon á Vacuo,28.39
2024-08-30,Contra Filé Peça à Vácuo Aprox. 4Kg,177.16
2024-08-30,Alcatra Miolo Peça Vácuo Aprox. 4kg,169.56
2024-08-30,Patinho Bovino Moído Congelado Swift 500 g,20.98
2024-08-30,Paleta e Músculo Reserva 600g,16.14
2024-08-30,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-08-30,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-08-30,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-08-30,"Maminha Swift Mais Aprox. 1,8Kg",84.56
2024-08-30,Acém Bovino Fracionado à Vácuo 600g,21.23
2024-08-30,"Lagarto Peça à Vácuo Aprox. 3,5Kg",111.62
2024-08-30,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-08-30,Capa de Filé à Vácuo Aprox. 2 Kg,60.98
2024-08-30,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-08-30,Filé Mignon Suíno Temperado Resfriado Aprox. 900 g,28.52
2024-08-30,Pernil Suíno Resfriado sem Osso Aprox. 500g,21.98
2024-08-30,Picanha Suína Temperada Carrefour Aproximadamente 800 g,15.92
2024-08-30,"Costela Suína Swift Aproximadamente 1,5 Kg",34.47
2024-08-30,Linguiça Calabresa Perdigão 400 g,13.19
2024-08-30,Bacon Defumado Sadia Aprox. 360g,12.2
2024-08-30,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-08-30,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-08-30,Pernil Suíno Resfriado sem Osso Aprox. 500g,21.98
2024-08-30,Linguiça Toscana Swift 700 g,17.98
2024-08-30,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-08-30,Leite Condensado MOÇA Lata 395g,9.99
2024-08-30,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-08-30,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-08-30,Leite Condensado MOÇA Lata 395g,9.99
2024-08-30,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-08-30,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-08-30,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-08-30,Manteiga com Sal Président Tablete 200g,14.99
2024-08-30,Queijo Parmesao President 180g,17.9
2024-08-30,Queijo Mussarela Lac Lelo 400 g,32.39
2024-08-30,Queijo Parmesao President 180g,17.9
2024-08-30,Queijo Minas Padrão 500g,36.34
2024-08-30,Requeijão Cremoso Catupiry 200g,7.59
2024-08-30,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-08-30,Leite Condensado MOÇA Lata 395g,9.99
2024-08-30,Creme de Leite NESTLÉ 200g,4.69
