date,product_name,price
2024-08-30,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-08-30,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-08-30,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-08-30,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-08-30,"Picanha Bovina à Vácuo Aprox. 1,5Kg",85.34
2024-08-30,"Picanha Fatiada à Vácuo Carrefour Aprox 1,5 Kg",52.34
2024-08-30,Cordão de Filé Mignon á Vacuo,28.39
2024-08-30,Contra Filé Peça à Vácuo Aprox. 4Kg,177.16
2024-08-30,Alcatra Miolo Peça Vácuo Aprox. 4kg,169.56
2024-08-30,Coxão Duro em Pedaços Carrefour Aproximadamente 600 g,22.13
2024-08-30,Patinho Bovino Moído Congelado Swift 500 g,20.98
2024-08-30,Paleta e Músculo Reserva 600g,16.14
2024-08-30,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-08-30,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-08-30,"Coca-Cola 1,5 Litros 6 Unidades",54.89
2024-08-30,"Fraldinha Ouro Congelada 1,15 Kg",91.28
2024-08-30,Fraldinha Selection Aprox. 2 Kg,152.18
2024-08-30,Açúcar Refinado União 1kg,4.49
2024-08-30,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-08-30,Arroz Branco Prato Fino Tipo 1 - 5kg,36.09
2024-08-30,Feijão Carioca Tipo 1 Kicaldo 1Kg,6.89
2024-08-30,Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 5Kg,32.99
2024-08-30,Açúcar Refinado Carrefour 1kg,3.99
2024-08-30,Filé de Peito de Frango Congelado sem Osso Perdigão 1Kg - Sassami,16.89
2024-08-30,Sabão em Pó Omo Lavagem Perfeita 2.2kg,29.99
2024-08-30,Café Torrado e Moído 3 Corações Tradicional  a Vácuo 500g,20.99
2024-08-30,"Iogurte Líquido Parcialmente Desnatado Danone Morango 1,25KG",13.49
2024-08-30,Sal Refinado Carrefour 1Kg,2.39
2024-08-30,Café Torrado e Moído Pilão Tradicional Vácuo 500 g,21.29
2024-08-30,Salmão Inteiro Fresco Aprox. 4Kg,235.56
2024-08-30,"Suco de Laranja Integral Refrigerado Natural One 100% Suco 1,5 Litros",24.99
2024-08-30,"Refrigerante Coca-Cola Sem Açúcar 1,5L",8.99
2024-08-30,Sal Refinado Iodado Branco Lebre 1Kg,1.99
2024-08-30,"Suco de Uva e Maçã Integral Refrigerado Natural One 100% Suco 1,5 Litros",30.99
2024-08-30,"Maminha Swift Mais Aprox. 1,8Kg",84.56
2024-08-30,Acém Bovino Fracionado à Vácuo 600g,21.23
2024-08-30,"Lagarto Peça à Vácuo Aprox. 3,5Kg",111.62
2024-08-30,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-08-30,Capa de Filé à Vácuo Aprox. 2 Kg,60.98
2024-08-30,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-08-30,Filé Mignon Suíno Temperado Resfriado Aprox. 900 g,28.52
2024-08-30,Pernil Suíno Resfriado sem Osso Aprox. 500g,21.98
2024-08-30,Picanha Suína Temperada Carrefour Aproximadamente 800 g,15.92
2024-08-30,"Costela Suína Swift Aproximadamente 1,5 Kg",34.47
2024-08-30,Linguiça Calabresa Perdigão 400 g,13.19
2024-08-30,Linguiça Fina De Calabresa Apimentada  Perdigão 400g,22.89
2024-08-30,Bacon Defumado Sadia Aprox. 360g,12.2
2024-08-30,Lombo Suíno Assa Fácil Congelado Sadia Aproximadamente 750 g,18.74
2024-08-30,Lombo de Bacalhau sem Espinha Swift 1Kg,120.98
2024-08-30,Lombo de Salmão Premium Swift 650 g,79.0
2024-08-30,Lombo Canadense Ceratti Aprox. 120g,6.53
