Indicador,Data,Suavizada,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
IPCA,2021-03-31,S,3.639,3.4556,0.4253,3.0496,4.9011,27,1
IPCA,2021-03-31,N,3.6336,3.5665,0.3524,3.1539,4.7499,28,1
IPCA,2021-03-31,S,3.5654,3.4883,0.3613,2.2527,4.9011,63,0
IPCA,2021-03-31,N,3.5528,3.4947,0.3225,2.2675,4.7499,75,0
IPCA,2021-04-01,S,3.7099,3.6167,0.4461,3.0447,4.9083,24,1
IPCA,2021-04-01,N,3.6929,3.608,0.3599,3.1539,4.7499,25,1
IPCA,2021-04-01,S,3.566,3.4875,0.3634,2.252,4.9083,63,0
IPCA,2021-04-01,N,3.5528,3.4947,0.3225,2.2675,4.7499,75,0
IPCA,2021-04-05,S,3.7854,3.6554,0.4958,3.22,4.9371,18,1
IPCA,2021-04-05,N,3.7246,3.6184,0.3968,2.9896,4.7499,20,1
IPCA,2021-04-05,S,3.5681,3.4847,0.3725,2.2492,4.9371,63,0
IPCA,2021-04-05,N,3.5593,3.5032,0.3246,2.2675,4.7499,73,0
IPCA,2021-04-06,S,3.6709,3.454,0.5238,2.8856,4.9443,16,1
IPCA,2021-04-06,N,3.6477,3.5819,0.4314,2.9896,4.7499,18,1
IPCA,2021-04-06,S,3.5579,3.4795,0.3815,2.2485,4.9443,64,0
IPCA,2021-04-06,N,3.5518,3.499,0.3288,2.2675,4.7499,74,0
IPCA,2021-04-07,S,3.4673,3.4295,0.2684,2.8813,4.1921,16,1
IPCA,2021-04-07,N,3.4809,3.4939,0.2329,2.9896,4.032,17,1
IPCA,2021-04-07,S,3.5584,3.4794,0.3841,2.2478,4.9515,64,0
IPCA,2021-04-07,N,3.5518,3.499,0.3288,2.2675,4.7499,74,0
IPCA,2021-04-08,S,3.4548,3.4272,0.2786,2.8771,4.1979,14,1
IPCA,2021-04-08,N,3.4645,3.489,0.2332,2.9896,4.032,16,1
IPCA,2021-04-08,S,3.5588,3.4794,0.3866,2.2471,4.9587,64,0
IPCA,2021-04-08,N,3.5518,3.499,0.3288,2.2675,4.7499,74,0
IPCA,2021-04-09,S,3.5398,3.4316,0.292,3.0036,4.0773,11,1
IPCA,2021-04-09,N,3.4683,3.4324,0.2801,2.8771,4.0737,19,1
IPCA,2021-04-09,S,3.5398,3.4316,0.292,3.0036,4.0773,11,0
