Indicador,Data,Reuniao,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Selic,2024-07-19,R4/2026,9.4788,9.5,0.9614,7.5,12.5,59.0,1
Selic,2024-07-19,R4/2026,9.3484,9.25,0.8708,7.5,12.5,94.0,0
Selic,2024-07-19,R3/2026,9.5321,9.5,0.9121,7.5,12.5,70.0,1
Selic,2024-07-19,R3/2026,9.4143,9.4875,0.831,7.5,12.5,114.0,0
Selic,2024-07-19,R2/2026,9.5915,9.5,0.8804,7.5,12.5,71.0,1
Selic,2024-07-19,R2/2026,9.4718,9.5,0.8058,7.5,12.5,117.0,0
Selic,2024-07-19,R1/2026,9.6458,9.5,0.8787,7.5,12.5,72.0,1
Selic,2024-07-19,R1/2026,9.5462,9.5,0.7966,7.5,12.5,118.0,0
Selic,2024-07-19,R8/2025,9.7798,9.5001,0.8068,7.5,12.5,84.0,1
Selic,2024-07-19,R8/2025,9.708,9.5,0.7589,7.5,12.5,138.0,0
Selic,2024-07-19,R7/2025,9.8584,9.75,0.7676,8.0,12.5,83.0,1
Selic,2024-07-19,R7/2025,9.7721,9.75,0.7303,7.5,12.5,134.0,0
Selic,2024-07-19,R6/2025,9.9277,9.75,0.746,8.0,12.5,83.0,1
Selic,2024-07-19,R6/2025,9.8433,9.75,0.7082,7.5,12.5,134.0,0
Selic,2024-07-19,R5/2025,10.0241,10.0,0.6883,8.0,12.5,83.0,1
Selic,2024-07-19,R5/2025,9.953,10.0,0.6517,8.0,12.5,134.0,0
Selic,2024-07-19,R4/2025,10.1205,10.25,0.6079,8.0,12.0,83.0,1
Selic,2024-07-19,R4/2025,10.0624,10.0,0.5787,8.0,12.0,134.0,0
Selic,2024-07-19,R3/2025,10.241,10.5,0.5155,8.5,12.0,83.0,1
Selic,2024-07-19,R3/2025,10.2009,10.25,0.4863,8.5,12.0,134.0,0
Selic,2024-07-19,R2/2025,10.3494,10.5,0.425,9.0,12.0,83.0,1
Selic,2024-07-19,R2/2025,10.3158,10.5,0.3934,9.0,12.0,134.0,0
Selic,2024-07-19,R1/2025,10.4398,10.5,0.3214,9.5,12.0,83.0,1
Selic,2024-07-19,R1/2025,10.4123,10.5,0.2949,9.5,12.0,134.0,0
Selic,2024-07-19,R8/2024,10.506,10.5,0.2215,10.0,12.0,84.0,1
Selic,2024-07-19,R8/2024,10.4837,10.5,0.1939,9.75,12.0,141.0,0
Selic,2024-07-19,R7/2024,10.509,10.5,0.1369,10.25,11.5,83.0,1
Selic,2024-07-19,R7/2024,10.4946,10.5,0.1221,10.0,11.5,138.0,0
Selic,2024-07-19,R6/2024,10.509,10.5,0.0607,10.5,11.0,83.0,1
Selic,2024-07-19,R6/2024,10.5,10.5,0.0602,10.25,11.0,138.0,0
Selic,2024-07-19,R5/2024,10.5,10.5,0.0,10.5,10.5,83.0,1
Selic,2024-07-19,R5/2024,10.4982,10.5,0.0212,10.25,10.5,138.0,0
Selic,2024-07-18,R4/2026,9.3984,9.5,0.76,7.5,11.5,32.0,1
Selic,2024-07-18,R4/2026,9.347,9.25,0.7661,7.5,12.5,85.0,0
Selic,2024-07-18,R3/2026,9.4125,9.5,0.7428,7.5,11.5,40.0,1
Selic,2024-07-18,R3/2026,9.408,9.5,0.7554,7.5,12.5,109.0,0
Selic,2024-07-18,R2/2026,9.4817,9.5,0.7144,7.5,11.5,41.0,1
Selic,2024-07-18,R2/2026,9.4706,9.5,0.734,7.5,12.5,112.0,0
Selic,2024-07-18,R1/2026,9.5179,9.5,0.7684,7.5,11.5,42.0,1
Selic,2024-07-18,R1/2026,9.5416,9.5,0.7369,7.5,12.5,113.0,0
Selic,2024-07-18,R8/2025,9.7083,9.5,0.7434,7.5,11.5,54.0,1
Selic,2024-07-18,R8/2025,9.6891,9.5,0.7166,7.5,12.5,132.0,0
Selic,2024-07-18,R7/2025,9.7548,9.75,0.7079,7.5,11.5,52.0,1
Selic,2024-07-18,R7/2025,9.7438,9.75,0.6894,7.5,12.5,128.0,0
Selic,2024-07-18,R6/2025,9.8125,9.75,0.7018,7.5,11.5,52.0,1
Selic,2024-07-18,R6/2025,9.8086,9.75,0.6713,7.5,12.5,128.0,0
Selic,2024-07-18,R5/2025,9.9135,10.0,0.6502,8.0,11.5,52.0,1
Selic,2024-07-18,R5/2025,9.9176,9.875,0.6337,8.0,12.5,128.0,0
Selic,2024-07-18,R4/2025,10.024,10.0,0.5909,8.0,11.5,52.0,1
Selic,2024-07-18,R4/2025,10.0321,10.0,0.5926,8.0,12.5,128.0,0
